timestamp,ax,ay,az,gx,gy,gz,label
00:15:18.393,0.419,1.093,10.401,0.005,0.006,0.418,fall
00:15:18.411,0.467,1.125,10.42,0.007,-0.001,0.47,fall
00:15:18.458,0.484,1.209,10.424,0.016,-0.001,0.491,fall
00:15:18.503,0.517,1.291,10.379,0.014,-0.001,0.503,fall
00:15:18.550,0.472,1.382,10.324,0.017,0.006,0.436,fall
00:15:18.595,0.456,1.449,10.346,-0.005,-0.003,0.514,fall
00:15:18.638,0.527,1.361,10.371,-0.017,-0.006,0.54,fall
00:15:18.683,0.535,1.481,10.351,-0.017,-0.006,0.593,fall
00:15:18.728,0.581,1.396,10.336,-0.028,0.002,0.555,fall
00:15:18.732,0.463,1.518,10.314,-0.015,0.014,0.444,fall
00:15:18.772,0.512,1.517,10.256,-0.019,-0.002,0.54,fall
00:15:18.820,0.5,1.602,10.263,-0.015,0.007,0.479,fall
00:15:18.865,0.474,1.631,10.243,-0.023,0.003,0.503,fall
00:15:18.908,0.474,1.695,10.233,-0.019,0.006,0.425,fall
00:15:18.952,0.411,1.832,10.142,-0.009,-0.004,0.438,fall
00:15:18.997,0.457,1.842,10.085,-0.011,-0.034,0.526,fall
00:15:19.043,0.546,2.042,10.001,-0.0,-0.05,0.59,fall
00:15:19.090,0.654,2.184,9.964,-0.03,-0.061,0.7,fall
00:15:19.096,0.712,2.06,9.799,-0.061,-0.05,0.692,fall
00:15:19.134,0.666,2.228,9.725,-0.054,-0.036,0.637,fall
00:15:19.180,0.623,2.503,9.693,-0.068,-0.023,0.614,fall
00:15:19.225,0.614,2.623,9.64,-0.129,-0.001,0.596,fall
00:15:19.272,0.535,2.651,9.538,-0.184,0.031,0.479,fall
00:15:19.312,0.374,2.709,9.485,-0.216,0.07,0.295,fall
00:15:19.360,0.304,3.026,9.318,-0.263,0.065,0.34,fall
00:15:19.405,0.37,2.818,8.286,-0.374,0.06,0.23,fall
00:15:19.493,-0.362,3.906,8.418,-0.382,0.079,-0.755,fall
00:15:19.500,-0.594,6.015,8.228,-0.649,-0.052,-0.115,fall
00:15:19.503,0.407,3.552,4.76,-1.103,-0.146,0.63,fall
00:15:19.538,0.552,4.371,4.814,-0.838,-0.265,0.868,fall
00:15:19.586,2.005,7.385,6.592,-0.853,-0.53,2.622,fall
00:15:19.633,2.673,6.417,5.227,-0.927,-0.521,2.957,fall
00:15:19.675,3.404,3.465,1.064,-1.281,-0.1,3.478,fall
00:15:19.719,3.156,-0.467,-0.484,-1.325,0.49,2.56,fall
00:15:19.764,0.581,-4.36,0.091,-1.428,1.381,-2.199,fall
00:15:19.811,-4.701,-5.689,16.747,-1.788,1.584,-7.81,fall
00:15:19.817,-10.898,-26.339,6.114,-1.71,1.898,-7.523,fall
00:15:19.855,-3.463,-0.809,8.818,0.993,0.085,-1.687,fall
00:15:19.899,-1.158,12.847,15.52,-1.651,0.27,-3.393,fall
00:15:19.944,-4.937,-3.186,2.484,-5.563,1.407,-5.588,fall
00:15:19.991,-7.155,-22.871,-7.466,-6.95,1.33,-12.85,fall
00:15:20.032,-16.562,-18.685,-7.394,-6.72,1.183,-14.371,fall
00:15:20.079,-8.737,-34.845,-1.552,-5.714,-1.539,-6.6,fall
00:15:20.122,-5.706,-21.397,2.722,-1.333,-2.318,-0.479,fall
00:15:20.169,1.892,-8.044,0.612,0.551,-3.294,2.564,fall
00:15:20.173,6.957,-0.682,-1.842,0.665,-3.425,8.763,fall
00:15:20.214,0.898,2.402,0.296,-0.554,-2.097,-3.678,fall
00:15:20.263,-0.532,-6.131,-3.795,-3.182,-1.357,-1.543,fall
00:15:20.303,-11.112,-15.234,-5.071,-3.007,1.85,-21.606,fall
00:15:20.350,-19.562,-8.9,-4.585,-0.815,0.664,-11.498,fall
00:15:20.393,-11.168,-5.743,2.062,-0.978,-0.42,-13.329,fall
00:15:20.485,-8.402,-7.77,1.288,-1.095,0.177,-4.228,fall
00:15:20.493,-5.628,-7.504,0.01,-0.582,1.034,-9.618,fall
00:15:20.498,-13.717,-4.732,-0.462,-0.123,1.771,-16.181,fall
00:15:20.526,-15.771,-6.285,-1.52,-0.095,0.794,-12.443,fall
00:15:20.619,-8.727,-4.022,-0.881,0.284,-0.35,-7.536,fall
00:15:20.626,-8.718,-2.952,-0.893,0.272,-0.046,-8.581,fall
00:15:20.662,-7.491,-3.662,-0.963,0.049,-0.074,-8.119,fall
00:15:20.708,-8.09,-3.092,-1.15,0.236,0.005,-6.418,fall
00:15:20.753,-6.253,-3.238,-1.54,0.068,0.077,-7.995,fall
00:15:20.798,-8.318,-3.162,-1.372,0.122,0.363,-8.296,fall
00:15:20.844,-9.547,-4.303,-2.028,-0.064,0.452,-18.291,fall
00:15:20.888,-13.368,-5.791,-2.185,0.144,-0.145,-6.583,fall
00:15:20.893,-6.405,-2.461,-0.965,0.308,-0.217,-8.729,fall
00:15:20.933,-8.587,-4.04,-1.692,-0.112,0.24,-8.602,fall
00:15:20.982,-8.766,-3.43,-1.787,0.048,0.113,-8.949,fall
00:15:21.022,-8.925,-2.688,-1.303,0.07,0.041,-8.732,fall
00:15:21.067,-8.746,-3.247,-1.238,-0.048,0.08,-8.723,fall
00:15:21.111,-8.61,-3.975,-1.457,0.015,-0.043,-8.697,fall
00:15:21.156,-8.849,-3.544,-1.087,0.13,-0.103,-9.079,fall
00:15:21.200,-9.248,-3.536,-0.954,0.206,-0.252,-8.969,fall
00:15:21.246,-9.069,-3.092,-1.026,0.295,-0.399,-8.943,fall
00:15:21.252,-8.451,-3.333,-0.583,0.25,-0.506,-8.357,fall
00:15:21.297,-8.397,-3.86,-0.472,0.264,-0.426,-8.403,fall
00:15:21.339,-8.471,-2.585,0.005,0.118,-0.148,-8.434,fall
00:15:21.382,-8.394,-4.203,-0.766,-0.03,0.035,-8.588,fall
00:15:21.426,-8.833,-3.538,-0.68,0.088,0.04,-8.845,fall
00:15:21.471,-8.654,-3.74,-0.486,0.016,-0.027,-8.439,fall
00:15:21.515,-8.576,-4.116,-0.636,0.07,-0.054,-8.762,fall
00:15:21.561,-8.724,-3.692,-0.389,0.079,-0.121,-8.641,fall
00:15:21.606,-8.593,-3.709,-0.211,0.022,-0.176,-8.396,fall
00:15:21.607,-8.356,-4.228,-0.192,-0.04,-0.095,-8.49,fall
00:15:21.652,-8.506,-3.836,-0.041,0.022,-0.043,-8.626,fall
00:15:21.698,-8.617,-3.769,-0.247,0.005,0.027,-8.568,fall
00:15:21.743,-8.572,-4.078,-0.18,0.007,0.025,-8.63,fall
00:15:21.788,-8.645,-3.69,-0.332,0.052,0.025,-8.549,fall
00:15:21.830,-8.553,-3.943,-0.265,-0.005,0.017,-8.56,fall
00:15:21.879,-8.491,-4.078,-0.354,0.006,0.006,-8.536,fall
00:15:21.919,-8.599,-3.964,-0.202,-0.001,-0.014,-8.6,fall
00:15:21.967,-8.549,-3.857,-0.163,-0.006,-0.022,-8.628,fall
00:15:21.972,-8.612,-3.874,-0.259,-0.009,-0.015,-8.588,fall
00:15:22.011,-8.564,-3.866,-0.117,-0.012,-0.015,-8.586,fall
00:15:22.059,-8.628,-3.824,-0.168,0.006,0.002,-8.585,fall
00:15:22.103,-8.596,-3.87,-0.193,0.002,0.008,-8.63,fall
00:15:22.149,-8.538,-3.904,-0.188,0.003,0.019,-8.617,fall
00:15:22.191,-8.611,-3.988,-0.211,0.006,-0.004,-8.541,fall
00:15:22.235,-8.575,-3.864,-0.205,0.013,-0.021,-8.58,fall
00:15:22.281,-8.56,-3.999,-0.238,0.001,-0.036,-8.533,fall
00:15:22.327,-8.634,-3.848,-0.18,-0.007,-0.026,-8.612,fall
00:15:22.331,-8.58,-3.875,-0.198,0.007,-0.023,-8.568,fall
00:15:22.372,-8.564,-3.924,-0.148,0.001,-0.005,-8.591,fall
00:15:22.466,-8.502,-3.936,-0.071,-0.01,-0.007,-8.67,fall
00:15:22.475,-8.654,-3.832,-0.035,0.016,0.002,-8.63,fall
00:15:22.506,-8.592,-3.902,-0.128,0.011,0.025,-8.647,fall
00:15:22.551,-8.676,-3.744,-0.196,0.045,-0.001,-8.588,fall
00:15:22.597,-8.533,-4.001,-0.227,0.01,-0.0,-8.604,fall
00:15:22.641,-8.627,-3.751,-0.023,0.013,-0.01,-8.559,fall
00:15:22.686,-8.538,-4.031,-0.298,-0.013,0.004,-8.659,fall
00:15:22.690,-8.66,-3.704,-0.031,0.018,-0.023,-8.591,fall
00:15:22.733,-8.58,-3.94,-0.153,-0.011,-0.007,-8.585,fall
00:15:22.779,-8.573,-3.928,-0.166,0.015,-0.008,-8.682,fall
00:15:22.475,-7.210668418763293,-3.19289130814663,-0.02916262938025367,0.013331487716687391,0.001666435964585924,-7.190671187188262,fall
00:15:21.652,-6.57672953369766,-6.619181266636302,-0.041,0.03589792982658307,-0.032316228650102675,-8.626,fall
00:15:21.879,-8.481432934459319,-4.030623615534779,-0.3309769581254127,-0.008084231578048563,0.02227680130757894,-8.549902530784374,fall
00:15:21.382,-8.003066444853127,-3.1049456499648795,-0.8387983176716028,-0.03244933524285398,0.02966643400834449,-8.22039404008545,fall
00:15:21.561,9.399952315017448,1.1747069742697969,-0.389,-0.043033665757365,0.13794964157794462,-8.641,fall
00:15:20.214,0.8313318660266983,2.4182202747660395,0.2538274536880817,-0.5238411970613049,-2.1202604670621588,-3.2546645622240766,fall
00:15:19.899,-1.2015058305244286,12.075853878768935,16.99042660226438,-1.6990497136083864,0.25283988701258475,-3.0463873403465693,fall
00:15:18.683,-1.064832429603069,1.1600508165014263,10.351,-0.0025552992997194086,-0.017845740261722223,0.593,fall
00:15:21.606,-8.384505394702915,-3.6190073907777394,-0.20588044202051844,0.02146620722488818,-0.17172965779910543,-8.192285266370963,fall
00:15:20.350,-18.2511265017235,-8.30360013625085,-4.277753553338219,-0.7603858551735329,0.6195045494910747,-10.727504985012615,fall
